customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_line,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
0002-ORFBO,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,"One year",Yes,"Mailed check",65.6,593.30,"No"
0003-MKNFE,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,"Mailed check",59.9,542.40,"No"
0004-TLHLJ,Male,0,No,No,4,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Electronic check",73.9,280.85,"Yes"
0011-IGKFF,Male,1,Yes,No,13,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",98,1237.85,"Yes"
0013-EXCHZ,Female,1,Yes,No,3,Yes,No,"Fiber optic",No,No,No,Yes,Yes,No,Month-to-month,Yes,"Mailed check",83.9,267.40,"Yes"
0013-MHZWF,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",69.4,571.45,"No"
0013-SMEOE,Female,1,Yes,No,71,Yes,No,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",109.7,7904.25,"No"
0014-BMAQU,Male,0,Yes,No,63,Yes,Yes,"Fiber optic",Yes,No,No,Yes,No,No,"Two year",Yes,"Credit card (automatic)",84.65,5377.80,"No"
0015-UOCOJ,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,"Electronic check",48.2,340.35,"No"
0016-QLJIS,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Mailed check",90.45,5957.90,"No"
0017-DINOC,Male,0,No,No,54,No,"No phone service",DSL,Yes,No,No,Yes,Yes,No,"Two year",No,"Credit card (automatic)",45.2,2460.55,"No"
0017-IUDMW,Female,0,Yes,Yes,72,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",116.8,8456.75,"No"
0018-NYROU,Female,0,Yes,No,5,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",68.95,351.50,"No"
0019-EFAEP,Female,0,No,No,72,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,No,"Two year",Yes,"Bank transfer (automatic)",101.3,7261.25,"No"
0019-GFNTW,Female,0,No,No,56,No,"No phone service",DSL,Yes,Yes,Yes,Yes,No,No,"Two year",No,"Bank transfer (automatic)",45.05,2560.10,"No"
0020-INWCK,Female,0,Yes,Yes,71,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,Yes,"Two year",Yes,"Credit card (automatic)",95.75,6849.40,"No"
0020-JDNXP,Female,0,Yes,Yes,34,No,"No phone service",DSL,Yes,No,Yes,Yes,Yes,Yes,"One year",No,"Mailed check",61.25,1993.20,"No"
0021-IKXGC,Female,1,No,No,1,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",72.1,72.10,"No"
0022-TCJCI,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,"One year",No,"Credit card (automatic)",62.7,2791.50,"Yes"
0023-HGHWL,Male,1,No,No,1,No,"No phone service",DSL,No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",25.1,25.10,"Yes"
0023-UYUPN,Female,1,Yes,No,50,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Electronic check",25.2,1306.30,"No"
0023-XUOPT,Female,0,Yes,No,13,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,No,Month-to-month,No,"Electronic check",94.1,1215.60,"Yes"
0027-KWYKW,Female,0,Yes,Yes,23,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",83.75,1849.95,"No"
0030-FNXPP,Female,0,No,No,3,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.85,57.20,"No"
0031-PVLZI,Female,0,Yes,Yes,4,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.35,76.35,"Yes"
0032-PGELS,Female,0,Yes,Yes,1,No,"No phone service",DSL,Yes,No,No,No,No,No,Month-to-month,No,"Bank transfer (automatic)",30.5,30.50,"Yes"
0036-IHMOT,Female,0,Yes,Yes,55,Yes,No,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Bank transfer (automatic)",103.7,5656.75,"No"
0040-HALCW,Male,0,Yes,Yes,54,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",20.4,1090.60,"No"
0042-JVWOJ,Male,0,No,No,26,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Bank transfer (automatic)",19.6,471.85,"No"
